M.C.B.,NYR - 7,PHI - 6,EDM - 7,ANA - 6
JACLYN,NYR - 5,PHI - 5,EDM - 5,DET - 5
DAD,NYR - 6,PHI - 5,COL - 6,DET - 6
MOM,NYR - 6,PHI - 5,COL - 5,DET - 6
STEPHANIE,NYR - 4,PHI - 5,COL - 6,ANA - 4
